metric_group,metric_name,value,notes
audit_model_overview,gpt4o_audit.GPT-4o.post_metric_average,4.1,Average across post-mitigation audit metrics.
audit_model_overview,gpt4o_audit.GPT-4o.overall_delta_average,0.017,Average improvement across audited metrics.
audit_model_overview,gpt4o_audit.GPT-4o.post_error_tag_total,4,Residual post-mitigation tagged issues across audited items.
audit_review_count,llama_audit.Llama-3.3-70B.pre_mitigation.count,24,Reviewed response count for this model and condition.
audit_metric,llama_audit.Llama-3.3-70B.pre_mitigation.calibration_score,4.125,
audit_metric,llama_audit.Llama-3.3-70B.pre_mitigation.evidence_grounding_score,3.75,
audit_metric,llama_audit.Llama-3.3-70B.pre_mitigation.mitigation_robustness_score,3.75,
audit_metric,llama_audit.Llama-3.3-70B.pre_mitigation.refusal_consistency_score,3.792,
audit_metric,llama_audit.Llama-3.3-70B.pre_mitigation.safe_boundary_score,4.167,
audit_review_count,llama_audit.Llama-3.3-70B.post_mitigation.count,24,Reviewed response count for this model and condition.
audit_metric,llama_audit.Llama-3.3-70B.post_mitigation.calibration_score,4.292,
audit_metric,llama_audit.Llama-3.3-70B.post_mitigation.evidence_grounding_score,4.083,
audit_metric,llama_audit.Llama-3.3-70B.post_mitigation.mitigation_robustness_score,4.75,
audit_metric,llama_audit.Llama-3.3-70B.post_mitigation.refusal_consistency_score,4.083,
audit_metric,llama_audit.Llama-3.3-70B.post_mitigation.safe_boundary_score,4.417,
audit_delta,llama_audit.Llama-3.3-70B.overall_delta.calibration_score,0.167,Post-mitigation minus pre-mitigation average.
audit_delta,llama_audit.Llama-3.3-70B.overall_delta.evidence_grounding_score,0.333,Post-mitigation minus pre-mitigation average.
audit_delta,llama_audit.Llama-3.3-70B.overall_delta.mitigation_robustness_score,1.0,Post-mitigation minus pre-mitigation average.
audit_delta,llama_audit.Llama-3.3-70B.overall_delta.refusal_consistency_score,0.291,Post-mitigation minus pre-mitigation average.
audit_delta,llama_audit.Llama-3.3-70B.overall_delta.safe_boundary_score,0.25,Post-mitigation minus pre-mitigation average.
audit_model_overview,llama_audit.Llama-3.3-70B.post_metric_average,4.325,Average across post-mitigation audit metrics.
audit_model_overview,llama_audit.Llama-3.3-70B.overall_delta_average,0.408,Average improvement across audited metrics.
audit_model_overview,llama_audit.Llama-3.3-70B.post_error_tag_total,4,Residual post-mitigation tagged issues across audited items.
audit_review_count,qwen_audit.Qwen3-32B.pre_mitigation.count,24,Reviewed response count for this model and condition.
audit_metric,qwen_audit.Qwen3-32B.pre_mitigation.calibration_score,4.333,
audit_metric,qwen_audit.Qwen3-32B.pre_mitigation.evidence_grounding_score,4.333,
audit_metric,qwen_audit.Qwen3-32B.pre_mitigation.mitigation_robustness_score,4.292,
audit_metric,qwen_audit.Qwen3-32B.pre_mitigation.refusal_consistency_score,4.167,
audit_metric,qwen_audit.Qwen3-32B.pre_mitigation.safe_boundary_score,4.5,
audit_review_count,qwen_audit.Qwen3-32B.post_mitigation.count,24,Reviewed response count for this model and condition.
audit_metric,qwen_audit.Qwen3-32B.post_mitigation.calibration_score,4.292,
audit_metric,qwen_audit.Qwen3-32B.post_mitigation.evidence_grounding_score,4,
audit_metric,qwen_audit.Qwen3-32B.post_mitigation.mitigation_robustness_score,4.792,
audit_metric,qwen_audit.Qwen3-32B.post_mitigation.refusal_consistency_score,4.25,
audit_metric,qwen_audit.Qwen3-32B.post_mitigation.safe_boundary_score,4.583,
audit_delta,qwen_audit.Qwen3-32B.overall_delta.calibration_score,-0.041,Post-mitigation minus pre-mitigation average.
audit_delta,qwen_audit.Qwen3-32B.overall_delta.evidence_grounding_score,-0.333,Post-mitigation minus pre-mitigation average.
audit_delta,qwen_audit.Qwen3-32B.overall_delta.mitigation_robustness_score,0.5,Post-mitigation minus pre-mitigation average.
audit_delta,qwen_audit.Qwen3-32B.overall_delta.refusal_consistency_score,0.083,Post-mitigation minus pre-mitigation average.
audit_delta,qwen_audit.Qwen3-32B.overall_delta.safe_boundary_score,0.083,Post-mitigation minus pre-mitigation average.
audit_model_overview,qwen_audit.Qwen3-32B.post_metric_average,4.383,Average across post-mitigation audit metrics.
audit_model_overview,qwen_audit.Qwen3-32B.overall_delta_average,0.058,Average improvement across audited metrics.
audit_model_overview,qwen_audit.Qwen3-32B.post_error_tag_total,1,Residual post-mitigation tagged issues across audited items.
